ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
708560,Photo,European Starling,Sturnus vulgaris,,Ciro De Simone,,,,,,United Kingdom,GB-ENG-LND,England,London,London Wetland Centre,51.4759000,-0.2320000,"","",Unspecified,"","",,IBC1103737,,,,,,"",,,"Storno. Elevation: 4 m. Date added to IBC: June 22, 2016.",,Sturnus vulgaris,eursta,Species,,,5.00,4,"",800,1200
708561,Photo,Tufted Duck,Aythya fuligula,,Ciro De Simone,,,,,,United Kingdom,GB-ENG-LND,England,London,"London (51.5017, -0.127)",51.5017000,-0.1270000,"","",Unspecified,"","",,IBC1103738,,,,,,"",,,"Moretta maschio. Elevation: 17 m. Date added to IBC: June 22, 2016.",,Aythya fuligula,tufduc,Species,,,5.00,4,"",800,1200
708562,Photo,European Robin,Erithacus rubecula,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103739,,,,,,"",,,"Pettirosso. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Erithacus rubecula,eurrob1,Species,,,4.88,8,"",800,1200
708563,Photo,Meadow Pipit,Anthus pratensis,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103740,,,,,,"",,,"Pispola. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Anthus pratensis,meapip1,Species,,,4.00,4,"",800,1200
708564,Photo,Eurasian Golden Oriole,Oriolus oriolus,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,Lazio,41.9778643,12.7697583,"","",Unspecified,"","",,IBC1103742,,,,,,"",,,"Rigogolo . Original IBC location name and coordinates: Lazio Region (41.6893,12.9584). Elevation: 661 m. Date added to IBC: June 22, 2016.",,Oriolus oriolus,eugori2,Species,,,4.00,7,"",801,1200
708565,Photo,Long-tailed Tit,Aegithalos caudatus,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103743,,,,,,"",,,"Codibugnolo . Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Aegithalos caudatus,lottit1,Species,,,4.00,4,"",800,1200
708566,Photo,Dunnock,Prunella modularis,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103744,,,,,,"",,,"Passera scopaiola. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Prunella modularis,dunnoc1,Species,,,4.00,4,"",800,1200
708567,Photo,Zitting Cisticola,Cisticola juncidis,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103745,,,,,,"",,,"Beccamoshino. Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Cisticola juncidis,zitcis1,Species,,,4.20,5,"",801,1200
708568,Photo,Common Snipe,Gallinago gallinago,,Ciro De Simone,,,,,,Italy,IT-62,Lazio,,Lazio,41.9778643,12.7697583,"","",Unspecified,"","",,IBC1103747,,,,,,"",,,"Beccaccino . Original IBC location name and coordinates: Lazio Region (41.6893,12.9584). Elevation: 661 m. Date added to IBC: June 22, 2016.",,Gallinago gallinago,comsni,Species,,,4.00,4,"",800,1200
708569,Photo,Great Tit,Parus major,,Ciro De Simone,,,,,,Italy,IT-72,Campania,,Campania,40.8579169,14.8422746,"","",Unspecified,"","",,IBC1103748,,,,,,"",,,"Cinciallegra . Original IBC location name and coordinates: Campania Region (40.8263,14.903). Elevation: 651 m. Date added to IBC: June 22, 2016.",,Parus major,gretit1,Species,,,4.00,4,"",800,1200
